country,Poverty,Poverty,Poverty,Poverty,Poverty,Poverty,Fragility,Fragility,Fragility,Fragility,Fragility,Fragility,GNI per capita,GNI per capita,GNI per capita,GNI per capita,GNI per capita,GNI per capita,Region,Region,Region,Region,Region,Region
country,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType
Philippines,20383947.52,19701848.56,18744583.34,17638240.17,16936638.61,16454896.86,83.9,79.2,83.2,83.4,85.8,87.1,1432.8,1506.24,1702.67,1928.77,2050,2032.05,EAP,EAP,EAP,EAP,EAP,EAP
Poland,38165.45,35890.93,31296.98,27488.67,24110.73,22878.52,47.9,47.9,47.6,47.6,49.6,49,8267.03,9169.39,10428.88,12062.46,12260,12474.9,ECA,ECA,ECA,ECA,ECA,ECA
Russian Federation,230614.65,189738.75,149489.2,92693.35,66385.8,81664.81,83.5,87.1,81.2,79.7,80.8,79,5071.66,6398.78,8077.06,9837.74,9340,8703.04,ECA,ECA,ECA,ECA,ECA,ECA
Rwanda,6721739.32,6681055.45,6632391.2,6672111.4,6471995.1,6485877.13,96.5,92.9,89.2,88,89,88.7,284.29,318.84,351.18,418.41,460,469.38,SSA,SSA,SSA,SSA,SSA,SSA
Sao Tome and Principe,40267.94,27031.48,15366.93,10998.99,8066.46,7468.37,78.6,78.6,78.6,78.3,76.7,75.8,864.23,923.54,979.04,1040.92,1140,1171.61,SSA,SSA,SSA,SSA,SSA,SSA
Senegal,3779349.9,3531714.28,3472908.84,3304204.62,3281164.1,3407160.17,66.1,66.1,66.9,70.9,74.2,74.6,875.6,890.55,925.83,1000.1,1040,1037.84,SSA,SSA,SSA,SSA,SSA,SSA
Sierra Leone,2837103.39,2916224.47,3005478.18,2836434.67,2667284.37,2749314.47,102.1,96.6,93.4,92.3,92.1,93.6,272.91,274.86,297.97,326.56,340,342.05,SSA,SSA,SSA,SSA,SSA,SSA
South Africa,10027712.7,9348456.7,8317075.63,7819731.64,7730875.28,8542633.67,55.7,55.7,57.4,62.7,67.4,67.9,5515.14,6024.97,6129.63,5990.41,5760,5587.81,SSA,SSA,SSA,SSA,SSA,SSA
Sri Lanka,1705864.64,1614524.45,1393176.24,1184963.1,851812.07,835072.93,92.4,92.4,93.1,95.6,96.7,95.7,1364.57,1484.25,1638.82,1816.51,1990,2044.87,SA,SA,SA,SA,SA,SA
Suriname,43543,50963.85,47573.77,42991.22,36950.4,37540.19,73.9,73.9,73.9,72.4,73.2,72.5,3763.94,4133.92,4746.2,4857.64,4990.25,5057.65,LAC,LAC,LAC,LAC,LAC,LAC
Swaziland,739180.74,751542.89,748694.53,758793.45,725840.94,736278.63,81.3,81.3,81.3,80,82.4,82.8,2569.94,2594.7,2702.99,2612.51,2470,2489.34,SSA,SSA,SSA,SSA,SSA,SSA
Tajikistan,941561.89,476592.37,632837.63,462884.85,201489.33,207734.31,86.7,87.7,88.7,88.9,90.3,89.2,375.26,428.78,489.52,612.31,700,709.74,ECA,ECA,ECA,ECA,ECA,ECA
Tanzania,33550657.58,33192263.43,33123222.84,33330657.77,33727426.37,33846263.1,91,78.3,79.3,79.1,81.1,81.2,398,417.79,436.31,469.44,500,520.11,SSA,SSA,SSA,SSA,SSA,SSA
Thailand,123384.36,68036.2,48760.97,43733.76,34762.95,47087.99,77.4,74.9,76,75.6,79.2,78.8,2933.83,3144.42,3447.91,3745.28,3760,3637.87,EAP,EAP,EAP,EAP,EAP,EAP
Timor-Leste,179575.97,249703.08,396109.46,401357.93,420989.61,412665.93,94.9,94.9,94.9,93.8,97.2,98.2,841.49,1055.47,1617.54,2510.46,2652.29,2876.94,EAP,EAP,EAP,EAP,EAP,EAP
Togo,2092707.15,2376916.75,2527808.33,2576918.83,2633745.46,2741818.45,80.4,88.3,86.6,86.8,87.2,88.1,398,406.8,404.39,418.41,440,442.28,SSA,SSA,SSA,SSA,SSA,SSA
Trinidad & Tobago,6781.34,5207.99,4434.91,3902.83,3492.37,3819.95,67.6,67.6,67.6,67,66.7,66.1,12349.37,14248.84,16186.04,15736.31,16700,16108.99,LAC,LAC,LAC,LAC,LAC,LAC
Tunisia,98013.42,82098.38,68459.05,57639.45,48991.02,43778.74,76.3,65.4,65.6,65.6,67.6,67.5,3263.6,3342.32,3415.99,3612.62,3720,3796.35,MENA,MENA,MENA,MENA,MENA,MENA
Turkey,1935797.81,1804432.93,1681422.05,1537934.01,1616019.18,1781034.23,86.1,74.4,74.9,75.4,78.2,77.1,7050.29,7872.04,8609.14,9072.36,8720,8201.18,ECA,ECA,ECA,ECA,ECA,ECA
Turkmenistan,44983.52,24052.51,14265.19,8649.8,5723.07,4719.51,76.5,86.1,87.5,86.2,84.3,82.5,1842.17,2044.97,2351.82,2816.62,3420,3574.97,ECA,ECA,ECA,ECA,ECA,ECA
Uganda,14787648.12,14494018.26,13475852,14001784.46,13644625.72,12717849.96,91.7,94.5,96.4,96.1,96.9,97.5,341.14,373.81,393.74,428.62,460,476.48,SSA,SSA,SSA,SSA,SSA,SSA
Uzbekistan,10520329.03,9688214.3,8831150.31,7687659.37,6647527.04,5745514.63,93.2,94.4,93.5,93.4,92.8,90.5,602.69,659.67,766.2,918.46,1100,1175.9,ECA,ECA,ECA,ECA,ECA,ECA
"Venezuela, RB",2652384.6,953383.37,715245.08,504925.13,458089.38,527843.05,93.5,81.2,79.8,77.9,79.5,78.7,5628.86,6706.63,7991.93,9358.1,10090,9556.62,LAC,LAC,LAC,LAC,LAC,LAC
Vietnam,20279117.02,18046034.42,15435387.07,12100509.27,9448064.7,8718518.53,84.9,78.6,77.8,74.6,76.9,76.6,705.03,758.62,808.77,877.64,930,968.35,EAP,EAP,EAP,EAP,EAP,EAP
"Yemen, Rep.",3681311.54,3553618.8,3505166.5,3472869.84,3540404.97,3657532.16,99.7,96.6,93.2,95.4,98.1,100,750.51,846.57,904.55,979.69,1060,1069.16,MENA,MENA,MENA,MENA,MENA,MENA
Zambia,7233223.38,7324423.02,7674731.44,7854935.04,7936078.63,8141253.05,79.6,79.6,80.6,81.6,84.2,83.9,568.57,659.67,776.84,979.69,970,1012.58,SSA,SSA,SSA,SSA,SSA,SSA
